RTL First name	RTL Last name	RTL Full name	Entity ID	Latin full name	Search URL
توفيق	شاغورية	توفيق شاغورية	60724	Tawfiq Jean Shagourie	https://www.mideastmed.org/search/people?first-name=توفيق&last-name=شاغورية
البرط نجيب	مزهر	البرط نجيب مزهر	60725	Albert Najib Mazhar	https://www.mideastmed.org/search/people?first-name=البرط نجيب&last-name=مزهر
غازاروس	ديميردجيان	غازاروس ديميردجيان	60726	Gazaros Demirdjian	https://www.mideastmed.org/search/people?first-name=غازاروس&last-name=ديميردجيان
احمد نور الدين يوسف	غصين	احمد نور الدين يوسف غصين	60727	Ahmad Nur al-Din Yusuf Ghusayn	https://www.mideastmed.org/search/people?first-name=احمد نور الدين يوسف&last-name=غصين
سامي	ابو صوان	سامي ابو صوان	60728	Sami Abu Sawwan	https://www.mideastmed.org/search/people?first-name=سامي&last-name=ابو صوان
فائق	صفير	فائق صفير	60729	Fa’iq Sfayr	https://www.mideastmed.org/search/people?first-name=فائق&last-name=صفير
دينا	متولي	دينا متولي	60730	Dina Y. P. Mitwali	https://www.mideastmed.org/search/people?first-name=دينا&last-name=متولي
مازن	حقي	مازن حقي	60731	Mazin Haqqi	https://www.mideastmed.org/search/people?first-name=مازن&last-name=حقي
جيان	صهيون	جيان صهيون	60732	Jean Sahyun	https://www.mideastmed.org/search/people?first-name=جيان&last-name=صهيون
يوسف وهبة	تماري	يوسف وهبة تماري	60733	Yusuf Wahba Tamari	https://www.mideastmed.org/search/people?first-name=يوسف وهبة&last-name=تماري
محمود	مراد	محمود مراد	60735	Mahmud Murad	https://www.mideastmed.org/search/people?first-name=محمود&last-name=مراد
زكريا	زكريا	زكريا زكريا	60737	Zakaria Zakaria	https://www.mideastmed.org/search/people?first-name=زكريا&last-name=زكريا
ألكسند د.	نينوس	ألكسند د. نينوس	60738	Alexander D. Ninos	https://www.mideastmed.org/search/people?first-name=ألكسند د.&last-name=نينوس
كيورك	باغتشيدجيان	كيورك باغتشيدجيان	60740	Keork Bagtchedjian	https://www.mideastmed.org/search/people?first-name=كيورك&last-name=باغتشيدجيان
نيكولاس انطون	بيلوس	نيكولاس انطون بيلوس	60741	Nicolas Antoin Bellos	https://www.mideastmed.org/search/people?first-name=نيكولاس انطون&last-name=بيلوس
سامي	فيليب	سامي فيليب	60742	Sami Filib	https://www.mideastmed.org/search/people?first-name=سامي&last-name=فيليب
هانوم	حائق	هانوم حائق	60743	Hanum J. Ha’iq	https://www.mideastmed.org/search/people?first-name=هانوم&last-name=حائق
حنا	انستاسي	حنا انستاسي	60744	Hana Anastasi	https://www.mideastmed.org/search/people?first-name=حنا&last-name=انستاسي
داؤد صالح	الحسيني	داؤد صالح الحسيني	60745	Da’ud Salih Husayni	https://www.mideastmed.org/search/people?first-name=داؤد صالح&last-name=الحسيني
ارچيريوس ب.	إغناطياديس	ارچيريوس ب. إغناطياديس	60746	Argyrios P. Ignatiadis	https://www.mideastmed.org/search/people?first-name=ارچيريوس ب.&last-name=إغناطياديس
