RTL First name	RTL Last name	RTL Full name	Entity ID	Latin full name	Search URL
محمد	أبو هنطش	محمد أبو هنطش	61065	Muhammad ʻAbd al-Ghani Abu Hantash	https://www.mideastmed.org/search/people?first-name=محمد&last-name=أبو هنطش
يوسف	عكاوي	يوسف عكاوي	61066	Yusuf ʻAbd al-Ghad	https://www.mideastmed.org/search/people?first-name=يوسف&last-name=عكاوي
يوسف	عكاوي	يوسف عكاوي	61067	Yusuf ʻAkawi	https://www.mideastmed.org/search/people?first-name=يوسف&last-name=عكاوي
چيرساس	اليكسوكيس	چيرساس اليكسوكيس	61068	Girsas Aleksockis	https://www.mideastmed.org/search/people?first-name=چيرساس&last-name=اليكسوكيس
نيكولاس كونستانتينيون	اناستازيو	نيكولاس كونستانتينيون اناستازيو	61069	Nicholas Konstantinuon Anastasiou	https://www.mideastmed.org/search/people?first-name=نيكولاس كونستانتينيون&last-name=اناستازيو
محمد م.س.	عرفات	محمد م.س. عرفات	61070	Muhammad M.S. ʻArafat	https://www.mideastmed.org/search/people?first-name=محمد م.س.&last-name=عرفات
جون بشارة	عطالله	جون بشارة عطالله	61071	John Bishara ʻAtalla	https://www.mideastmed.org/search/people?first-name=جون بشارة&last-name=عطالله
اتنساس بولص	خير	اتنساس بولص خير	61072	Bulus Khayr Athnassias	https://www.mideastmed.org/search/people?first-name=اتنساس بولص&last-name=خير
سابا افتيم	عازر	سابا افتيم عازر	61073	Saba Aftim ʻAzzar	https://www.mideastmed.org/search/people?first-name=سابا افتيم&last-name=عازر
عبد الرحيم	بدر	عبد الرحيم بدر	61074	Abd al-Rahim Badr	https://www.mideastmed.org/search/people?first-name=عبد الرحيم&last-name=بدر
ماغيرديتش	باغداساريان	ماغيرديتش باغداساريان	61075	Magerditch Baghdasarian	https://www.mideastmed.org/search/people?first-name=ماغيرديتش&last-name=باغداساريان
حليم سعيد	بركات	حليم سعيد بركات	61076	Halim Saʻid Barakat	https://www.mideastmed.org/search/people?first-name=حليم سعيد&last-name=بركات
ناجي ج.	بيدون	ناجي ج. بيدون	61077	Naji J. Baydun	https://www.mideastmed.org/search/people?first-name=ناجي ج.&last-name=بيدون
محمد	بن يوسف	محمد بن يوسف	61078	Muhammad Ben-Yusuf	https://www.mideastmed.org/search/people?first-name=محمد&last-name=بن يوسف
سامي سليم	بشارة	سامي سليم بشارة	61079	Sami Salim Bishara	https://www.mideastmed.org/search/people?first-name=سامي سليم&last-name=بشارة
سركيس ج.	بودوسيان	سركيس ج. بودوسيان	61080	Sarkis G. Bodossian	https://www.mideastmed.org/search/people?first-name=سركيس ج.&last-name=بودوسيان
عمر الفاروق	بديري	عمر الفاروق بديري	61081	ʻUmar al-Faruq Budayri	https://www.mideastmed.org/search/people?first-name=عمر الفاروق&last-name=بديري
نقولا	بولص	نقولا بولص	61082	Nikula Bulus	https://www.mideastmed.org/search/people?first-name=نقولا&last-name=بولص
يعقوب سليم	بردقوش	يعقوب سليم بردقوش	61083	Yaʻqub Salim Burdqush	https://www.mideastmed.org/search/people?first-name=يعقوب سليم&last-name=بردقوش
مبدة سليم	بردقوش	مبدة سليم بردقوش	61084	Mabda Salim Burdqush	https://www.mideastmed.org/search/people?first-name=مبدة سليم&last-name=بردقوش
اسكندر يعقوب موسى	دبورة	اسكندر يعقوب موسى دبورة	61085	Iskandar Yaʻqub Musa Dabura	https://www.mideastmed.org/search/people?first-name=اسكندر يعقوب موسى&last-name=دبورة
فوتي داؤد عيسى	فريج	فوتي داؤد عيسى فريج	61086	Futi Da’ud ʻIsa Freij	https://www.mideastmed.org/search/people?first-name=فوتي داؤد عيسى&last-name=فريج
س.ك.	جيرمانس	س.ك. جيرمانس	61087	S.K. Germanis	https://www.mideastmed.org/search/people?first-name=س.ك.&last-name=جيرمانس
شكري	غوشة	شكري غوشة	61088	Shukri Ghawsha	https://www.mideastmed.org/search/people?first-name=شكري&last-name=غوشة
قنسطنطين	چريڤيلي	قنسطنطين چريڤيلي	61089	Constantine Grivelli	https://www.mideastmed.org/search/people?first-name=قنسطنطين&last-name=چريڤيلي
حاج يوسف	جميل	حاج يوسف جميل	61090	Jamil Hajj Yusuf	https://www.mideastmed.org/search/people?first-name=حاج يوسف&last-name=جميل
اميلية	حمودة	اميلية حمودة	61091	Emilia (Moreschi) Hamuda	https://www.mideastmed.org/search/people?first-name=اميلية&last-name=حمودة
محمد	حكمت	محمد حكمت	61092	Muhammad Hikmat	https://www.mideastmed.org/search/people?first-name=محمد&last-name=حكمت
حسن عيسى	هندي	حسن عيسى هندي	61093	Hasan ʻIsa Hindi	https://www.mideastmed.org/search/people?first-name=حسن عيسى&last-name=هندي
اسكندر حنا	حوراني	اسكندر حنا حوراني	61094	Iskandar Hana Hurani	https://www.mideastmed.org/search/people?first-name=اسكندر حنا&last-name=حوراني
د.	إغناطياديس	د. إغناطياديس	61095	D. Ignatiadis	https://www.mideastmed.org/search/people?first-name=د.&last-name=إغناطياديس
فؤاد سليم	الياس	فؤاد سليم الياس	61096	Fu’ad Salim Ilias	https://www.mideastmed.org/search/people?first-name=فؤاد سليم&last-name=الياس
ابراهيم جريس	اتيم	ابراهيم جريس اتيم	61097	Ibrahim Jiris Itayim	https://www.mideastmed.org/search/people?first-name=ابراهيم جريس&last-name=اتيم
فايز جرجس ابراهيم يوسف	جمال	فايز جرجس ابراهيم يوسف جمال	61098	Faiz Jirjis Ibrahim Yusuf Jamal	https://www.mideastmed.org/search/people?first-name=فايز جرجس ابراهيم يوسف&last-name=جمال
نجيب	جمال	نجيب جمال	61099	Najib K. Jamal	https://www.mideastmed.org/search/people?first-name=نجيب&last-name=جمال
يوسف ابراهيم	جمال	يوسف ابراهيم جمال	61100	Yusuf Ibrahim Jamal	https://www.mideastmed.org/search/people?first-name=يوسف ابراهيم&last-name=جمال
خاتشير هوفانيس	كيشيشيان	خاتشير هوفانيس كيشيشيان	61102	Khatcher Hovannes Keshishian	https://www.mideastmed.org/search/people?first-name=خاتشير هوفانيس&last-name=كيشيشيان
جبران	خولي	جبران خولي	61103	Jibran Khawli	https://www.mideastmed.org/search/people?first-name=جبران&last-name=خولي
فؤاد	خوري	فؤاد خوري	61104	Fu’ad Khuri	https://www.mideastmed.org/search/people?first-name=فؤاد&last-name=خوري
ميخائيل شديد	معلوف	ميخائيل شديد معلوف	61105	Mikha’il Shadid Maʻluf	https://www.mideastmed.org/search/people?first-name=ميخائيل شديد&last-name=معلوف
الينور كوخ	مغربي	الينور كوخ مغربي	61106	Elinor Koch Maghribi	https://www.mideastmed.org/search/people?first-name=الينور كوخ&last-name=مغربي
	منصور	 منصور	61107	Papas Saʻid Mansur	https://www.mideastmed.org/search/people?first-name=&last-name=منصور
صدقي عبد الرحيم	ملحس	صدقي عبد الرحيم ملحس	61108	Sidqi Abd al-Rahim Milhis	https://www.mideastmed.org/search/people?first-name=صدقي عبد الرحيم&last-name=ملحس
منير خليل	مشعلاني	منير خليل مشعلاني	61109	Munir Khalil Mishʻalani	https://www.mideastmed.org/search/people?first-name=منير خليل&last-name=مشعلاني
مصطفى فخري	محمد	مصطفى فخري محمد	61111	Mustafa Fakhri Muhammad	https://www.mideastmed.org/search/people?first-name=مصطفى فخري&last-name=محمد
محمد	مرادي	محمد مرادي	61112	Muhammad Muradi	https://www.mideastmed.org/search/people?first-name=محمد&last-name=مرادي
سعد سليم	مسلم	سعد سليم مسلم	61113	Saʻd Salim Musallam	https://www.mideastmed.org/search/people?first-name=سعد سليم&last-name=مسلم
نازاريت	نجاريان	نازاريت نجاريان	61114	Nazaret Najarian	https://www.mideastmed.org/search/people?first-name=نازاريت&last-name=نجاريان
وديع شبلي	ناصر	وديع شبلي ناصر	61115	Wadiʻ Shibli Nasir	https://www.mideastmed.org/search/people?first-name=وديع شبلي&last-name=ناصر
يعقوب داؤد	نزهة	يعقوب داؤد نزهة	61116	Yaʻqub Da’ud Nazha	https://www.mideastmed.org/search/people?first-name=يعقوب داؤد&last-name=نزهة
محمد توفيق	نسيبة	محمد توفيق نسيبة	61117	Muhammad Tawfiq Nusayba	https://www.mideastmed.org/search/people?first-name=محمد توفيق&last-name=نسيبة
امين	رويحة	امين رويحة	61120	Amin Rwaiha	https://www.mideastmed.org/search/people?first-name=امين&last-name=رويحة
صليبة يعقوب	سعيد	صليبة يعقوب سعيد	61121	Saliba Yaʻqub Saʻid	https://www.mideastmed.org/search/people?first-name=صليبة يعقوب&last-name=سعيد
الياس س.	صباغة	الياس س. صباغة	61122	Ilias S. Sabbagha	https://www.mideastmed.org/search/people?first-name=الياس س.&last-name=صباغة
سليمات	سليم	سليمات سليم	61123	Sulayman Salim	https://www.mideastmed.org/search/people?first-name=سليمات&last-name=سليم
فؤاد عيسى	شطارة	فؤاد عيسى شطارة	61124	Fu’ad ʻIsa Shatara	https://www.mideastmed.org/search/people?first-name=فؤاد عيسى&last-name=شطارة
اسعد م.	شحادة	اسعد م. شحادة	61125	Asʻad Mikha’il Shihada	https://www.mideastmed.org/search/people?first-name=اسعد م.&last-name=شحادة
خليل فائق ابراهيم	شبيطة	خليل فائق ابراهيم شبيطة	61126	Khalil Fa’iq Ibrahim Shubayta	https://www.mideastmed.org/search/people?first-name=خليل فائق ابراهيم&last-name=شبيطة
فؤاد	طبري	فؤاد طبري	61128	Fu’ad Tabari	https://www.mideastmed.org/search/people?first-name=فؤاد&last-name=طبري
رشدي	تميمي	رشدي تميمي	61129	Rushdi Tamimi	https://www.mideastmed.org/search/people?first-name=رشدي&last-name=تميمي
فريد يوسف	طين	فريد يوسف طين	61130	Farid Yusuf Teen	https://www.mideastmed.org/search/people?first-name=فريد يوسف&last-name=طين
منير	وحيد	منير وحيد	61132	Munir Wahid	https://www.mideastmed.org/search/people?first-name=منير&last-name=وحيد
موسى الياس	يعقوب	موسى الياس يعقوب	61133	Musa Ilias Yaʻqub	https://www.mideastmed.org/search/people?first-name=موسى الياس&last-name=يعقوب
جمال عز الدين	قدورة	جمال عز الدين قدورة	61134	Jamal ʻIzz al-Din Qadura	https://www.mideastmed.org/search/people?first-name=جمال عز الدين&last-name=قدورة
اندراوس	فرموند	اندراوس فرموند	61137	Andreus Musa	https://www.mideastmed.org/search/people?first-name=اندراوس&last-name=فرموند
كريمة سطفن	عبد	كريمة سطفن عبد	61139	Karima Stephan ʻAbd	https://www.mideastmed.org/search/people?first-name=كريمة سطفن&last-name=عبد
سليمة	شبلي	سليمة شبلي	61140	Salima Shibli	https://www.mideastmed.org/search/people?first-name=سليمة&last-name=شبلي
نوفة خليل	وهبة	نوفة خليل وهبة	61141	Nopha Khalil Wahba	https://www.mideastmed.org/search/people?first-name=نوفة خليل&last-name=وهبة
جميلة س.	الزير	جميلة س. الزير	61142	Jamila S. al-Zir	https://www.mideastmed.org/search/people?first-name=جميلة س.&last-name=الزير
ميلدة	قطبي	ميلدة قطبي	61143	Milada Qubti	https://www.mideastmed.org/search/people?first-name=ميلدة&last-name=قطبي
ملكي	قبطي	ملكي قبطي	61144	Malaki Qubti	https://www.mideastmed.org/search/people?first-name=ملكي&last-name=قبطي
جميلة	جعلوق	جميلة جعلوق	61145	Jamila Jaʻluq	https://www.mideastmed.org/search/people?first-name=جميلة&last-name=جعلوق
سعدة	عبود	سعدة عبود	61146	Saʻada ʻAbud	https://www.mideastmed.org/search/people?first-name=سعدة&last-name=عبود
جليلة	عبده	جليلة عبده	61147	Jalila ʻAbdu	https://www.mideastmed.org/search/people?first-name=جليلة&last-name=عبده
لدية	عيد	لدية عيد	61148	Lydia ʻId	https://www.mideastmed.org/search/people?first-name=لدية&last-name=عيد
اميلي	عبود	اميلي عبود	61149	Emily ʻAbud	https://www.mideastmed.org/search/people?first-name=اميلي&last-name=عبود
جميلة	شحادة	جميلة شحادة	61150	Jamila Shihada	https://www.mideastmed.org/search/people?first-name=جميلة&last-name=شحادة
جوليا	حيمو	جوليا حيمو	61151	Julia Himo	https://www.mideastmed.org/search/people?first-name=جوليا&last-name=حيمو
ڤاهانوهي	اڤازيان	ڤاهانوهي اڤازيان	61152	Vahanouhie Aivazian	https://www.mideastmed.org/search/people?first-name=ڤاهانوهي&last-name=اڤازيان
نسيمة	عواد	نسيمة عواد	61153	Nasima ʻAwwad	https://www.mideastmed.org/search/people?first-name=نسيمة&last-name=عواد
فريدة	منصور	فريدة منصور	61154	Farida Ibrahim Mansur	https://www.mideastmed.org/search/people?first-name=فريدة&last-name=منصور
عربية سعيد	خولي	عربية سعيد خولي	61155	Arabia Saʻid Khawli	https://www.mideastmed.org/search/people?first-name=عربية سعيد&last-name=خولي
فطوم حاج احمد	عطاية	فطوم حاج احمد عطاية	61156	Fatum Hajj Ahmad ʻAtaya	https://www.mideastmed.org/search/people?first-name=فطوم حاج احمد&last-name=عطاية
نظيرة حاج	ادهم	نظيرة حاج ادهم	61157	Nazira Hajj Adham	https://www.mideastmed.org/search/people?first-name=نظيرة حاج&last-name=ادهم
نسب طنوس	خيرالله	نسب طنوس خيرالله	61158	Nasab Tanus Khayralla	https://www.mideastmed.org/search/people?first-name=نسب طنوس&last-name=خيرالله
مريم	طقطق	مريم طقطق	61159	Maryam Tuqtuq	https://www.mideastmed.org/search/people?first-name=مريم&last-name=طقطق
روز	سمرجيان	روز سمرجيان	61160	Rose Semerjian	https://www.mideastmed.org/search/people?first-name=روز&last-name=سمرجيان
جميلة الياس	مدبق	جميلة الياس مدبق	61161	Jamila Ilias Madbaq	https://www.mideastmed.org/search/people?first-name=جميلة الياس&last-name=مدبق
لولس	جودة سليم	لولس جودة سليم	61162	Juda Salim Lulas	https://www.mideastmed.org/search/people?first-name=لولس&last-name=جودة سليم
انيسة	شقير	انيسة شقير	61163	Anisa Shuqayr	https://www.mideastmed.org/search/people?first-name=انيسة&last-name=شقير
يسرى	سعيد	يسرى سعيد	61164	Yusra Saʻid	https://www.mideastmed.org/search/people?first-name=يسرى&last-name=سعيد
مريم ابراهيم	بك	مريم ابراهيم بك	61165	Maryam Ibrahim Bek	https://www.mideastmed.org/search/people?first-name=مريم ابراهيم&last-name=بك
نايفة	زغبابة	نايفة زغبابة	61166	Naifa Zaghbaba	https://www.mideastmed.org/search/people?first-name=نايفة&last-name=زغبابة
بهية	حداد	بهية حداد	61167	Bahiya Haddad	https://www.mideastmed.org/search/people?first-name=بهية&last-name=حداد
ممدوحة	ناصر	ممدوحة ناصر	61169	Mamduha Muhammad Nasir	https://www.mideastmed.org/search/people?first-name=ممدوحة&last-name=ناصر
لطيفة	منيمني	لطيفة منيمني	61170	Latifa Mnaimni	https://www.mideastmed.org/search/people?first-name=لطيفة&last-name=منيمني
زينب	قباني	زينب قباني	61171	Zaynab Qabani	https://www.mideastmed.org/search/people?first-name=زينب&last-name=قباني
جوليا	شامية	جوليا شامية	61172	Julia Shamiya	https://www.mideastmed.org/search/people?first-name=جوليا&last-name=شامية
مريم	غنوم	مريم غنوم	61173	Maryam Kubein Ghanum	https://www.mideastmed.org/search/people?first-name=مريم&last-name=غنوم
بديعه	جرجوره	بديعه جرجوره	61174	Badia Jarjura	https://www.mideastmed.org/search/people?first-name=بديعه&last-name=جرجوره
جميلة	غارابيديان	جميلة غارابيديان	61175	Jamila Garabedian	https://www.mideastmed.org/search/people?first-name=جميلة&last-name=غارابيديان
عالية	مدور	عالية مدور	61176	ʻAliya Mudawwar	https://www.mideastmed.org/search/people?first-name=عالية&last-name=مدور
مجدية	ايراني	مجدية ايراني	61177	Majdieh Irani	https://www.mideastmed.org/search/people?first-name=مجدية&last-name=ايراني
خيرية قاسم	خطيب	خيرية قاسم خطيب	61178	Khayriyya Qasim Khatib	https://www.mideastmed.org/search/people?first-name=خيرية قاسم&last-name=خطيب
اميلية يعقوب	حبيب	اميلية يعقوب حبيب	61179	Emilia Yaʻqub Habib	https://www.mideastmed.org/search/people?first-name=اميلية يعقوب&last-name=حبيب
سعدة نقولا	رفيدي	سعدة نقولا رفيدي	61180	Saʻada Nikula Rafidi	https://www.mideastmed.org/search/people?first-name=سعدة نقولا&last-name=رفيدي
سوفية	شعار	سوفية شعار	61181	Sophia Shaʻar	https://www.mideastmed.org/search/people?first-name=سوفية&last-name=شعار
عزيزة	ابو غزالة	عزيزة ابو غزالة	61182	ʻAziza Abu Ghazala	https://www.mideastmed.org/search/people?first-name=عزيزة&last-name=ابو غزالة
جميلة	طويل	جميلة طويل	61183	Jamila Tawil	https://www.mideastmed.org/search/people?first-name=جميلة&last-name=طويل
هناء	عفانة	هناء عفانة	61184	Hana’ ʻAfana	https://www.mideastmed.org/search/people?first-name=هناء&last-name=عفانة
حميدة	جهان	حميدة جهان	61185	Hamida Jihan	https://www.mideastmed.org/search/people?first-name=حميدة&last-name=جهان
نايفة عبده	نجار	نايفة عبده نجار	61186	Naifa ʻAbdu Najjar	https://www.mideastmed.org/search/people?first-name=نايفة عبده&last-name=نجار
مارثا ن.	كاسباريان	مارثا ن. كاسباريان	61187	Martha N. Casparian	https://www.mideastmed.org/search/people?first-name=مارثا ن.&last-name=كاسباريان
صديقة	صايغ	صديقة صايغ	61188	Sadiqa Sayigh	https://www.mideastmed.org/search/people?first-name=صديقة&last-name=صايغ
ربيعة	شريف	ربيعة شريف	61189	Rabiʻa Sharif	https://www.mideastmed.org/search/people?first-name=ربيعة&last-name=شريف
خديجة	برغوثي	خديجة برغوثي	61190	Khadija Mustafa Baghruthi	https://www.mideastmed.org/search/people?first-name=خديجة&last-name=برغوثي
جميلة موسى	العراج	جميلة موسى العراج	61191	Jamila Musa al-ʻArraj	https://www.mideastmed.org/search/people?first-name=جميلة موسى&last-name=العراج
راضية عسل	تومى	راضية عسل تومى	61192	Radia ʻAsl Tuma	https://www.mideastmed.org/search/people?first-name=راضية عسل&last-name=تومى
جليلة خليل	طنس	جليلة خليل طنس	61193	Jalila Khalil Tanas	https://www.mideastmed.org/search/people?first-name=جليلة خليل&last-name=طنس
مارية جارالله	عواد	مارية جارالله عواد	61194	Maria Jadalla ʻAwwad	https://www.mideastmed.org/search/people?first-name=مارية جارالله&last-name=عواد
عزيزة	عبد الوهاب	عزيزة عبد الوهاب	61195	ʻAziza ʻAbd al-Wahhab	https://www.mideastmed.org/search/people?first-name=عزيزة&last-name=عبد الوهاب
عفوة ابراهيم	صباح	عفوة ابراهيم صباح	61196	ʻAfwa Ibrahim Sabah	https://www.mideastmed.org/search/people?first-name=عفوة ابراهيم&last-name=صباح
ميسر سعيد	جمله	ميسر سعيد جمله	61197	Moyassar Saʻid Jumla	https://www.mideastmed.org/search/people?first-name=ميسر سعيد&last-name=جمله
بهية	قدورة	بهية قدورة	61198	Bahiya Qadura	https://www.mideastmed.org/search/people?first-name=بهية&last-name=قدورة
بدرية فهد	راعي	بدرية فهد راعي	61200	Badria Fahd Raʻi	https://www.mideastmed.org/search/people?first-name=بدرية فهد&last-name=راعي
امينة محمد	عبدالله	امينة محمد عبدالله	61201	Amina Muhammad ʻAbdallah	https://www.mideastmed.org/search/people?first-name=امينة محمد&last-name=عبدالله
ماري زهرية	صلاح	ماري زهرية صلاح	61202	Mary Zahriya Sallah	https://www.mideastmed.org/search/people?first-name=ماري زهرية&last-name=صلاح
هند	جريوس	هند جريوس	61203	Hind Jarius	https://www.mideastmed.org/search/people?first-name=هند&last-name=جريوس
هيفاء	قربان	هيفاء قربان	61204	Haifa Qurban	https://www.mideastmed.org/search/people?first-name=هيفاء&last-name=قربان
داميا	تلحوق	داميا تلحوق	61205	Damia Talhuk	https://www.mideastmed.org/search/people?first-name=داميا&last-name=تلحوق
زهور	عسل	زهور عسل	61206	Zuhur ʻAsl	https://www.mideastmed.org/search/people?first-name=زهور&last-name=عسل
فريدة موسى	يوسف	فريدة موسى يوسف	61207	Farida Musa Yusuf	https://www.mideastmed.org/search/people?first-name=فريدة موسى&last-name=يوسف
مريم	بيدروسيان	مريم بيدروسيان	61208	Miriam Bedrossian	https://www.mideastmed.org/search/people?first-name=مريم&last-name=بيدروسيان
سرية سمعين	رزق	سرية سمعين رزق	61209	Sariya Smaʻin Rizk	https://www.mideastmed.org/search/people?first-name=سرية سمعين&last-name=رزق
هجر	خيرابي	هجر خيرابي	61210	Hajar Khalil Khirabi	https://www.mideastmed.org/search/people?first-name=هجر&last-name=خيرابي
ياغسابيت	أليزيان	ياغسابيت أليزيان	61211	Yeghsapet Alizian	https://www.mideastmed.org/search/people?first-name=ياغسابيت&last-name=أليزيان
جميلة سعيد	خوري	جميلة سعيد خوري	61212	Jamila Saʻid Khuri	https://www.mideastmed.org/search/people?first-name=جميلة سعيد&last-name=خوري
اليس طنوس	عطية	اليس طنوس عطية	61213	Alice Tanus ʻAtiya	https://www.mideastmed.org/search/people?first-name=اليس طنوس&last-name=عطية
وديعة انطونيوس	أسعد	وديعة انطونيوس أسعد	61215	Wadiʻa Antonius Asʻad	https://www.mideastmed.org/search/people?first-name=وديعة انطونيوس&last-name=أسعد
وديعة	حبيبي	وديعة حبيبي	61216	Wadiʻa Habibi	https://www.mideastmed.org/search/people?first-name=وديعة&last-name=حبيبي
عفيفة	نجار	عفيفة نجار	61217	ʻAfifa Najjar	https://www.mideastmed.org/search/people?first-name=عفيفة&last-name=نجار
أنجيل ج.عربي	تاجر	أنجيل ج.عربي تاجر	61218	Angel G. ʻArabi Tajir	https://www.mideastmed.org/search/people?first-name=أنجيل ج.عربي&last-name=تاجر
ڤارتوهي	ستامبوليان	ڤارتوهي ستامبوليان	61219	Vartouhi Stamboulian	https://www.mideastmed.org/search/people?first-name=ڤارتوهي&last-name=ستامبوليان
نجيبة	زنزيري	نجيبة زنزيري	61220	Najiba Zananiri	https://www.mideastmed.org/search/people?first-name=نجيبة&last-name=زنزيري
نجلة	كرنفول	نجلة كرنفول	61221	Najla Kronfol	https://www.mideastmed.org/search/people?first-name=نجلة&last-name=كرنفول
بهية حسن		بهية حسن 	61222	Bahiya Hasan Habit	https://www.mideastmed.org/search/people?first-name=بهية حسن&last-name=
محفوظة	ابو شاكر	محفوظة ابو شاكر	61223	Mahfuza Abu Shakir	https://www.mideastmed.org/search/people?first-name=محفوظة&last-name=ابو شاكر
اروسياق	إيراني	اروسياق إيراني	61224	Arusiac Irani	https://www.mideastmed.org/search/people?first-name=اروسياق&last-name=إيراني
عفت	ادهم	عفت ادهم	61225	Effat Adham	https://www.mideastmed.org/search/people?first-name=عفت&last-name=ادهم
رمزية	مهتدي	رمزية مهتدي	61226	Ramzia Mahtadi	https://www.mideastmed.org/search/people?first-name=رمزية&last-name=مهتدي
يڤكين	توكاتليان	يڤكين توكاتليان	61227	Yevkine Tocatlian	https://www.mideastmed.org/search/people?first-name=يڤكين&last-name=توكاتليان
ي.	جبران	ي. جبران	61228	Yusra Jubran	https://www.mideastmed.org/search/people?first-name=ي.&last-name=جبران
روز	كراليان	روز كراليان	61229	Rose Kralian	https://www.mideastmed.org/search/people?first-name=روز&last-name=كراليان
نعمي	داؤد	نعمي داؤد	61230	Naomi Da’ud	https://www.mideastmed.org/search/people?first-name=نعمي&last-name=داؤد
لولو	قربان	لولو قربان	61231	Lulu Qurban	https://www.mideastmed.org/search/people?first-name=لولو&last-name=قربان
لؤلؤ	قبيسي	لؤلؤ قبيسي	61232	Lulu Qubaisi	https://www.mideastmed.org/search/people?first-name=لؤلؤ&last-name=قبيسي
مارغريت	أوهانيسيان	مارغريت أوهانيسيان	61233	Margaret Ohannessian	https://www.mideastmed.org/search/people?first-name=مارغريت&last-name=أوهانيسيان
زكية سالم	سكر	زكية سالم سكر	61234	Zakia Salim Sukkar	https://www.mideastmed.org/search/people?first-name=زكية سالم&last-name=سكر
غدسية	اشرف	غدسية اشرف	61235	Ghudsiya Ashraf	https://www.mideastmed.org/search/people?first-name=غدسية&last-name=اشرف
زاكيا	شابيشيان	زاكيا شابيشيان	61236	Zakia Chabishian	https://www.mideastmed.org/search/people?first-name=زاكيا&last-name=شابيشيان
هدية	قطب	هدية قطب	61237	Hadiya Qutub	https://www.mideastmed.org/search/people?first-name=هدية&last-name=قطب
لبيبة	ناصر	لبيبة ناصر	61238	Labiba Nasir	https://www.mideastmed.org/search/people?first-name=لبيبة&last-name=ناصر
شفيقة	عبود	شفيقة عبود	61239	Shafiqa ʻAbud	https://www.mideastmed.org/search/people?first-name=شفيقة&last-name=عبود
زهر ة	هنوش	زهر ة هنوش	61240	Zuhra Hanush	https://www.mideastmed.org/search/people?first-name=زهر ة&last-name=هنوش
عائشة حسين	دباح	عائشة حسين دباح	61241	ʻA’isha Husayn Dabbah	https://www.mideastmed.org/search/people?first-name=عائشة حسين&last-name=دباح
اسمى	حداد	اسمى حداد	61242	Asma Haddad	https://www.mideastmed.org/search/people?first-name=اسمى&last-name=حداد
صبحية	خورشيد	صبحية خورشيد	61243	Subhiya Khurshid	https://www.mideastmed.org/search/people?first-name=صبحية&last-name=خورشيد
استر	عيد	استر عيد	61244	Esther ʻId	https://www.mideastmed.org/search/people?first-name=استر&last-name=عيد
نقولا	كوكب	نقولا كوكب	61245	Nikula Kawkab	https://www.mideastmed.org/search/people?first-name=نقولا&last-name=كوكب
جوليت	بنا	جوليت بنا	61246	Julliet Bana	https://www.mideastmed.org/search/people?first-name=جوليت&last-name=بنا
مريم حنا	بطرس	مريم حنا بطرس	61247	Maryam Hana Butrus	https://www.mideastmed.org/search/people?first-name=مريم حنا&last-name=بطرس
مصرة طالب	فيومي	مصرة طالب فيومي	61248	Masarah Talib Fayumi	https://www.mideastmed.org/search/people?first-name=مصرة طالب&last-name=فيومي
ماري	رستم	ماري رستم	61249	Mary Rustum	https://www.mideastmed.org/search/people?first-name=ماري&last-name=رستم
حلوى	رزق يعقوب	حلوى رزق يعقوب	61250	Hilwa Rizq Yaʻqub	https://www.mideastmed.org/search/people?first-name=حلوى&last-name=رزق يعقوب
بهية سليم	ابو عطا	بهية سليم ابو عطا	61252	Bahiya Salim Abu ʻAta	https://www.mideastmed.org/search/people?first-name=بهية سليم&last-name=ابو عطا
جميلة	ميخائيل	جميلة ميخائيل	61253	Jamila Mikha’il	https://www.mideastmed.org/search/people?first-name=جميلة&last-name=ميخائيل
ديروهي	كوتشاكيان	ديروهي كوتشاكيان	61254	Derouhi Kotchakian	https://www.mideastmed.org/search/people?first-name=ديروهي&last-name=كوتشاكيان
فقطرينة داؤد	شمالي	فقطرينة داؤد شمالي	61255	Katherina Da’ud Shemali	https://www.mideastmed.org/search/people?first-name=فقطرينة داؤد&last-name=شمالي
فاطمة ابراهيم	مكاوي	فاطمة ابراهيم مكاوي	61256	Fatima Ibrahim Makawi	https://www.mideastmed.org/search/people?first-name=فاطمة ابراهيم&last-name=مكاوي
مريم خليل	بواب	مريم خليل بواب	61257	Maryam Khalil Bawwab	https://www.mideastmed.org/search/people?first-name=مريم خليل&last-name=بواب
خديجة محمد	جادالله	خديجة محمد جادالله	61258	Khadija Muhammad Jadallah	https://www.mideastmed.org/search/people?first-name=خديجة محمد&last-name=جادالله
منيرة	نصار	منيرة نصار	61259	Munira Nassar 1	https://www.mideastmed.org/search/people?first-name=منيرة&last-name=نصار
اروسياغ هالادجيان	عطالله	اروسياغ هالادجيان عطالله	61260	Arousiag Halladjian ʻAtalla	https://www.mideastmed.org/search/people?first-name=اروسياغ هالادجيان&last-name=عطالله
زهرية محمد	دودين	زهرية محمد دودين	61261	Zuhuriya Muhammad Dudia	https://www.mideastmed.org/search/people?first-name=زهرية محمد&last-name=دودين
هلن عيد	حمامة	هلن عيد حمامة	61262	Helen ʻIdd Hamama	https://www.mideastmed.org/search/people?first-name=هلن عيد&last-name=حمامة
سوربوهي	ميريزيان	سوربوهي ميريزيان	61263	Surpohi Merzeian	https://www.mideastmed.org/search/people?first-name=سوربوهي&last-name=ميريزيان
نجلة	مسلم	نجلة مسلم	61264	Najla Musallam	https://www.mideastmed.org/search/people?first-name=نجلة&last-name=مسلم
